"","Gotaways","Arrests"
"Oct-05","43,011","83,557"
"Nov-05","40,916","70,975"
"Dec-05","31,030","52,673"
"Jan-06","53,531","101,195"
"Feb-06","73,885","125,046"
"Mar-06","73,746","160,696"
"Apr-06","88,616","126,538"
"May-06","75,642","105,450"
"Jun-06","46,093","68,366"
"Jul-06","28,841","59,641"
"Aug-06","30,068","59,751"
"Sep-06","29,958","58,084"
"Oct-06","40,123","60,713"
"Nov-06","43,831","51,594"
"Dec-06","31,533","40,527"
"Jan-07","37,574","71,934"
"Feb-07","47,969","79,268"
"Mar-07","62,208","114,137"
"Apr-07","49,786","104,465"
"May-07","46,721","88,504"
"Jun-07","40,502","71,338"
"Jul-07","28,249","66,782"
"Aug-07","27,518","59,795"
"Sep-07","25,917","49,581"
"Oct-07","29,757","51,339"
"Nov-07","27,748","42,209"
"Dec-07","20,028","31,802"
"Jan-08","27,762","59,028"
"Feb-08","33,994","73,483"
"Mar-08","39,614","89,770"
"Apr-08","40,897","91,566"
"May-08","32,851","69,233"
"Jun-08","28,083","53,854"
"Jul-08","19,908","49,472"
"Aug-08","19,400","48,541"
"Sep-08","17,496","44,708"
"Oct-08","20,177","42,938"
"Nov-08","18,801","32,780"
"Dec-08","14,420","25,947"
"Jan-09","22,563","44,502"
"Feb-09","22,322","49,211"
"Mar-09","25,013","67,342"
"Apr-09","22,159","58,493"
"May-09","21,340","50,884"
"Jun-09","17,487","46,044"
"Jul-09","14,410","43,843"
"Aug-09","13,993","43,522"
"Sep-09","11,660","35,359"
"Oct-09","14,664","40,890"
"Nov-09","14,909","32,815"
"Dec-09","11,036","25,034"
"Jan-10","12,888","34,784"
"Feb-10","13,349","42,790"
"Mar-10","19,844","61,361"
"Apr-10","17,051","55,237"
"May-10","15,823","47,045"
"Jun-10","12,450","32,955"
"Jul-10","6,991","25,609"
"Aug-10","8,328","26,415"
"Sep-10","7,899","22,796"
"Oct-10","7,283","26,165"
"Nov-10","8,065","22,405"
"Dec-10","6,435","19,429"
"Jan-11","8,268","23,926"
"Feb-11","8,063","28,786"
"Mar-11","10,126","42,014"
"Apr-11","6,233","36,251"
"May-11","6,944","31,236"
"Jun-11","6,184","27,166"
