Year,Month,Births
2016,January,316707
2016,February,306015
2016,March,328526
2016,April,313485
2016,May,327631
2016,June,332324
2016,July,342728
2016,August,357830
2016,September,345552
2016,October,330958
2016,November,319389
2016,December,324730
2017,January,313786
2017,February,289054
2017,March,319625
2017,April,300116
2017,May,322456
2017,June,323920
2017,July,334924
2017,August,352151
2017,September,337175
2017,October,329869
2017,November,316511
2017,December,315913
2018,January,314808
2018,February,284250
2018,March,316044
2018,April,298394
2018,May,320622
2018,June,314816
2018,July,329009
2018,August,344750
2018,September,322772
2018,October,326778
2018,November,308703
2018,December,310766
2019,January,310872
2019,February,279963
2019,March,304237
2019,April,298947
2019,May,316386
2019,June,304092
2019,July,333646
2019,August,341685
2019,September,325781
2019,October,325043
2019,November,298086
2019,December,308802
2020,January,304722
2020,February,282654
2020,March,301625
2020,April,290478
2020,May,301481
2020,June,302164
2020,July,321637
2020,August,319621
2020,September,311705
2020,October,305085
2020,November,282597
2020,December,289878
2021,January,277172
2021,February,266355
2021,March,302692
2021,April,293208
2021,May,300912
2021,June,313597
2021,July,326117
2021,August,330271
2021,September,325738
2021,October,315414
2021,November,301730
2021,December,311086
2022,January,294843
2022,February,275727
2022,March,307459
2022,April,288660
2022,May,297576
2022,June,305759
2022,July,320822
2022,August,335912
2022,September,312233
2022,October,306805
2022,November,307148
2022,December,314814
2023,January,299465
2023,February,270844
2023,March,299356
2023,April,278629
2023,May,299543
2023,June,303321
2023,July,311595
2023,August,322359
2023,September,305511
2023,October,309117
2023,November,298225
2023,December,298039
2024,January,296757
2024,February,282864
2024,March,297631
2024,April,289020
2024,May,302559
2024,June,291877
2024,July,312942
